a,b,c,d
0.12695900000000002,10,0.02053431807974153,0.7746367454528809
0.151308,20,0.02100524544012757,0.7699427008628845
0.18359999999999999,50,0.0189661540645435,0.6899468898773193
0.19763800000000004,100,0.02150001758138816,0.4357803761959076
0.247196,200,0.017068901077690973,0.6605510711669922
0.29427800000000004,500,0.013347535952377127,0.6475692987442017
0.338522,1000,0.014017115109750653,0.5320368409156799
0.387629,2000,0.010398060347968746,0.5709095597267151
0.466347,5000,0.009790438754213215,0.49978750944137573
0.5460090000000001,10000,0.009046270999699268,0.4228060841560364
