a,b,c,d
0.5968295931816101,10,0.0026514569763094187,0.7746367454528809
0.5962428376078606,20,0.0013489091070368886,0.7699427008628845
0.5862433612346649,50,0.00165296730119735,0.6899468898773193
0.5544725470244884,100,0.002874087542295456,0.4357803761959076
0.582568883895874,200,0.0011432748287916183,0.6605510711669922
0.5809461623430252,500,0.0008599428692832589,0.6475692987442017
0.56650460511446,1000,0.00252031278796494,0.5320368409156799
0.5713636949658394,2000,0.0008831957820802927,0.5709095597267151
0.562473438680172,5000,0.00038379683974198997,0.49978750944137573
0.5528507605195045,10000,0.00031057512387633324,0.4228060841560364
