a,b,c,d
0.5855408683419228,10,0.0022536437027156353,0.6843269467353821
0.5696016326546669,20,0.0015075723640620708,0.5568130612373352
0.5503650866448879,50,0.0012071015080437064,0.4029206931591034
0.5271623395383358,100,0.0011784445960074663,0.2172987163066864
0.5313828438520432,200,0.0007908782572485507,0.2510627508163452
0.5223622061312199,500,0.0005678036832250655,0.1788976490497589
0.5146787408739328,1000,0.000499539659358561,0.11742992699146271
0.5126563189551234,2000,0.0003900111769326031,0.1012505516409874
0.5094568375498056,5000,0.00020422092347871512,0.07565470039844513
0.5076231197454035,10000,0.00016192988550756127,0.060984957963228226
