a,b,c,d
0.6277,10,0.07623457220972649,0.6843269467353821
0.6564,20,0.06917398354873022,0.5568130612373352
0.6591,50,0.05284117712541989,0.4029206931591034
0.5484,100,0.05818453402752315,0.2172987163066864
0.6104,200,0.058050322996517426,0.2510627508163452
0.5583,500,0.05501008998356575,0.1788976490497589
0.5242,1000,0.04752220533603213,0.11742992699146271
0.5178,2000,0.049630232721598236,0.1012505516409874
0.5216000000000001,5000,0.052947521188437145,0.07565470039844513
0.5127,10000,0.05224662668536602,0.060984957963228226
