a,b,c,d
0.248523,10,0.0475890362478586,0.7034026384353638
0.38059300000000007,20,0.05292030471378636,0.5403838157653809
0.559523,50,0.049847521212192686,0.3651696443557739
0.6575890000000001,100,0.06748575686024423,0.21177645027637482
0.842795,200,0.030144742078843535,0.14080053567886353
0.924068,500,0.010410666453210381,0.07255092263221741
0.942932,1000,0.009149523266269126,0.04367952048778534
0.9589829999999998,2000,0.006514784033258505,0.024709971621632576
0.97228,5000,0.004012654981430623,0.011932584457099438
0.9792770000000002,10000,0.0031951793376898316,0.0059564500115811825
