a,b,c,d
0.5879253298044205,10,0.0015559742460027337,0.7034026384353638
0.5675479769706726,20,0.001312421401962638,0.5403838157653809
0.5456462055444717,50,0.0008233569096773863,0.3651696443557739
0.5264720562845469,100,0.0007203964632935822,0.21177645027637482
0.5176000669598579,200,0.00042584247421473265,0.14080053567886353
0.5090688653290272,500,0.0001986511779250577,0.07255092263221741
0.5054599400609732,1000,0.00013868373935110867,0.04367952048778534
0.5030887464527041,2000,9.350539767183363e-05,0.024709971621632576
0.5014915730571374,5000,5.860560486325994e-05,0.011932584457099438
0.5007445562514476,10000,4.15491740568541e-05,0.0059564500115811825
