a,b,c,d
0.6820000000000002,10,0.060315835400000885,0.7034026384353638
0.7082999999999999,20,0.06133604160687254,0.5403838157653809
0.6865999999999999,50,0.04675938408490856,0.3651696443557739
0.5964,100,0.07278076669010845,0.21177645027637482
0.6185,200,0.05435761216241935,0.14080053567886353
0.5603,500,0.051816117183748914,0.07255092263221741
0.5309000000000001,1000,0.0474361676360981,0.04367952048778534
0.5062000000000001,2000,0.05615656684662979,0.024709971621632576
0.5085,5000,0.05331744555021367,0.011932584457099438
0.5007,10000,0.04936101700735106,0.0059564500115811825
