b,a,c,d
0.4783499836921692,100,0.5597937479615211,0.0
0.3009589612483978,150,0.5376198701560497,0.0
0.2997075021266937,200,0.5374634377658367,0.0
0.24862471222877502,250,0.5310780890285969,0.0
0.1900131106376648,300,0.5237516388297081,0.0
0.18716339766979218,400,0.523395424708724,0.0
0.12116958945989609,500,0.515146198682487,0.0
0.10918215662240982,750,0.5136477695778012,0.0
0.062457747757434845,1000,0.5078072184696794,0.0
0.030753444880247116,2000,0.5038441806100309,0.0
0.012121533043682575,4000,0.5015151916304603,0.0
0.015350505709648132,8000,0.501918813213706,0.0
